timestamp,OceanRateCardReference,TotalDuration,NumberOfRates,saveDuration,refreshDuration,copyConfigDuration
2022-07-22T11:36:19.2670904Z,FH4RTWXHN,01:09:11,3334,00:22:58,00:39:06,00:07:06
2022-07-22T11:28:49.8017015Z,FPR7MF4PH,01:32:58,1608,00:25:50,00:56:04,00:11:02
2022-07-22T11:27:08.5084081Z,FFP77PRWM,00:02:23,130,00:00:08,00:02:09,00:00:05
2022-07-22T11:08:36.8704478Z,F7HN9NHTW,02:15:51,6819,00:25:10,01:47:13,00:03:26
2022-07-22T11:05:00.5009183Z,FC9KFTWXM,00:32:22,430,00:08:46,00:20:19,00:03:17
2022-07-22T10:46:52.0551039Z,F4H4K4RT9,00:22:11,532,00:05:12,00:15:38,00:01:19
2022-07-22T10:44:27.1380729Z,FCJHP7RR7,00:25:51,260,00:04:36,00:18:28,00:02:45
2022-07-22T10:39:29.14006Z,FNWJNMM39,01:09:35,290,00:06:07,00:59:03,00:04:23
2022-07-22T10:34:56.0520099Z,F7HMRKYCW,00:40:32,192,00:08:47,00:29:51,00:01:53
2022-07-22T10:32:09.4616797Z,FFJCCTW4W,00:48:35,808,00:15:23,00:26:49,00:06:22
2022-07-22T10:31:58.6116195Z,FTX3JCP4K,00:07:16,18,00:01:13,00:05:34,00:00:27
2022-07-22T10:27:01.3384046Z,FXMT4K4P3,00:15:39,60,00:03:20,00:10:09,00:02:08
2022-07-22T10:25:22.5888002Z,FMWRR7MC9,00:25:03,78,00:02:59,00:20:57,00:01:07
2022-07-22T10:17:14.3650308Z,FM4PYTK7C,00:09:34,112,00:02:31,00:05:21,00:01:40
2022-07-22T10:16:37.9067827Z,FFTMRK4JN,00:02:17,24,00:00:11,00:01:35,00:00:30
2022-07-22T10:14:16.4890796Z,FXJW7K9CJ,00:05:55,96,00:01:21,00:03:31,00:01:02
2022-07-22T10:11:00.2110678Z,FTMN44H9N,00:03:53,64,00:00:40,00:02:34,00:00:38
2022-07-22T10:07:13.2104668Z,F7RCKFTFR,00:02:30,12,00:00:11,00:02:09,00:00:09
2022-07-22T09:55:39.5428849Z,FM4JJWTMK,00:34:12,1717,00:05:01,00:27:01,00:02:09
2022-07-22T09:54:24.7773779Z,FM34KTC7M,00:30:38,1148,00:05:42,00:21:48,00:03:07
2022-07-22T09:36:03.1448574Z,FNPTCH3M9,00:22:42,930,00:04:53,00:16:15,00:01:30
2022-07-22T09:31:30.0162429Z,FXX7PTWKR,00:17:32,48,00:01:53,00:15:03,00:00:34
2022-07-22T09:28:33.5831913Z,FJNJXYY43,00:08:42,24,00:00:54,00:07:29,00:00:19
2022-07-22T09:19:49.2776935Z,FY74KY74F,00:02:05,10,00:00:26,00:01:25,00:00:13
2022-07-22T09:19:45.1033501Z,FPTHM4J7P,00:31:48,1400,00:06:09,00:23:43,00:01:53
2022-07-22T09:19:39.0554765Z,FRKJMXNHC,00:02:03,2,00:00:36,00:01:17,00:00:09
2022-07-22T09:19:35.1174759Z,FKYRRXT7R,00:08:41,52,00:01:32,00:06:35,00:00:32
2022-07-22T09:10:30.2371265Z,FY74KY74F,00:01:33,10,00:00:10,00:01:16,00:00:05
2022-07-22T09:10:02.5145963Z,FRKJMXNHC,00:01:19,2,00:00:04,00:01:09,00:00:04
2022-07-22T08:57:47.7513933Z,FRMKNKFJ4,00:06:29,336,00:01:26,00:04:38,00:00:24
2022-07-22T08:57:38.2022918Z,FMCCM744M,00:07:16,288,00:01:21,00:05:27,00:00:27
2022-07-22T08:57:32.5342653Z,FKN79FXW4,00:12:34,1054,00:01:23,00:10:19,00:00:51
2022-07-22T08:56:27.4978797Z,FKKP9FFFJ,00:02:44,6,00:00:57,00:01:34,00:00:11
2022-07-22T08:50:06.5300697Z,FKKP9FFFJ,00:00:42,6,00:00:09,00:00:28,00:00:04
2022-07-22T08:49:12.9118173Z,FJM3YWPW4,00:00:52,6,00:00:02,00:00:44,00:00:06
2022-07-22T08:47:40.414556Z,FCJK77R47,00:03:19,264,00:00:13,00:02:58,00:00:08
2022-07-22T08:45:55.013133Z,FJM3YWPW4,00:00:46,6,00:00:04,00:00:39,00:00:01
2022-07-22T07:52:20.9977943Z,FC7PWPTJP,00:01:20,8,00:00:05,00:01:06,00:00:08
2022-07-22T07:49:06.1048079Z,FH79TX4MH,00:00:24,4,00:00:00,00:00:21,00:00:01
2022-07-22T07:41:40.4155484Z,FKF94KMCN,00:00:24,16,00:00:00,00:00:21,00:00:02
2022-07-22T07:39:27.5377408Z,F7C3WTR4X,00:00:23,8,00:00:00,00:00:19,00:00:03
2022-07-22T04:58:24.8322055Z,FJXFXM4T3,00:00:34,30,00:00:02,00:00:25,00:00:07
2022-07-22T04:54:39.6442945Z,FJXFXM4T3,00:00:36,30,00:00:01,00:00:33,00:00:01
2022-07-22T04:26:36.146566Z,F3HYHKJRP,00:00:24,6,00:00:02,00:00:18,00:00:03
2022-07-22T04:25:19.4555616Z,FNCTKKKNR,00:05:38,588,00:00:20,00:04:03,00:01:13
2022-07-22T04:25:00.7527609Z,FJK9TR3TP,00:04:24,420,00:00:19,00:02:44,00:01:20
2022-07-22T04:15:52.2866115Z,FNCTKKKNR,00:04:29,588,00:00:18,00:04:05,00:00:05
2022-07-22T04:13:59.2831107Z,FJK9TR3TP,00:02:47,420,00:00:07,00:02:37,00:00:03
2022-07-22T04:09:13.8174633Z,FHHKHW4KF,00:11:42,756,00:00:39,00:06:02,00:05:00
2022-07-22T04:04:46.1308412Z,F3KFM7MFN,00:15:12,608,00:00:51,00:07:30,00:06:51
2022-07-22T03:57:51.3320552Z,FW497J7F7,00:30:00,864,00:06:31,00:13:13,00:10:15
2022-07-22T03:57:04.3417762Z,FRPRCC77J,00:41:10,1770,00:01:29,00:30:02,00:09:38
2022-07-22T03:51:12.5750306Z,FWPJHHRKR,00:01:43,172,00:00:06,00:01:12,00:00:24
2022-07-22T03:47:31.0658701Z,FHHKHW4KF,00:13:46,756,00:02:07,00:11:12,00:00:23
2022-07-22T03:45:56.0978781Z,FFF3X7MCH,00:10:59,848,00:01:13,00:06:33,00:03:11
2022-07-22T03:42:24.0725061Z,F3KFM7MFN,00:06:45,608,00:00:25,00:06:11,00:00:08
2022-07-22T03:42:05.2839606Z,FWPJHHRKR,00:02:26,172,00:00:23,00:01:55,00:00:06
2022-07-22T03:41:40.2546056Z,F9F739NF7,00:02:15,6,00:00:06,00:01:41,00:00:27
2022-07-22T03:33:37.116654Z,F9F739NF7,00:01:27,6,00:00:04,00:01:19,00:00:03
2022-07-22T03:29:50.849694Z,FFF3X7MCH,00:06:21,848,00:00:20,00:05:54,00:00:06
2022-07-22T03:19:36.608364Z,FKCXRKFKY,00:02:42,270,00:00:11,00:01:50,00:00:40
2022-07-22T03:13:50.1817102Z,F7TWTFTN9,00:03:17,224,00:00:11,00:02:22,00:00:43
2022-07-22T03:11:53.3851341Z,FHRMFH4FT,00:01:19,18,00:00:13,00:00:49,00:00:16
2022-07-22T03:09:48.2995046Z,FKCXRKFKY,00:02:13,270,00:00:05,00:02:05,00:00:02
2022-07-22T03:07:11.9294044Z,FHRMFH4FT,00:00:43,18,00:00:05,00:00:36,00:00:01
2022-07-22T03:06:59.5846829Z,FRPRCC77J,00:20:00,1770,00:01:30,00:18:03,00:00:26
2022-07-22T03:06:55.3545413Z,FJM4X49HN,00:06:56,102,00:01:26,00:04:03,00:01:26
2022-07-22T03:06:52.7435235Z,FW497J7F7,00:06:57,864,00:00:21,00:06:28,00:00:07
2022-07-22T03:06:44.8261741Z,FFTXXFTP9,00:00:36,30,00:00:02,00:00:28,00:00:06
2022-07-22T03:06:04.5882037Z,F7TWTFTN9,00:05:12,224,00:01:02,00:03:47,00:00:22
2022-07-22T03:02:57.2413028Z,FNM4PKPPW,00:06:56,196,00:01:14,00:03:05,00:02:36
2022-07-22T03:00:13.3411696Z,FRRWKCRYY,00:05:23,80,00:00:59,00:02:58,00:01:25
2022-07-22T02:58:24.8612886Z,FFTXXFTP9,00:01:43,30,00:00:10,00:01:28,00:00:04
2022-07-22T02:53:16.100069Z,FNTNJ3Y4H,00:00:46,48,00:00:03,00:00:31,00:00:12
2022-07-22T02:50:48.4015582Z,FJM4X49HN,00:02:53,102,00:00:23,00:02:19,00:00:10
2022-07-22T02:50:35.3889707Z,FNM4PKPPW,00:01:51,196,00:00:08,00:01:41,00:00:01
2022-07-22T02:48:52.2030866Z,FRRWKCRYY,00:01:41,80,00:00:13,00:01:20,00:00:07
